function,function, time_us
,time_us
Tempo por Loop, 22601.00000000
Tempo por Loop, 32021.00000000
Tempo por Loop, 24481.00000000
Tempo por Loop, 22809.00000000
Tempo por Loop, 21806.00000000
Tempo por Loop, 26075.00000000
Tempo por Loop, 23392.00000000
Tempo por Loop, 21740.00000000
Tempo por Loop, 25876.00000000
Tempo por Loop, 22884.00000000
Tempo por Loop, 21280.00000000
Tempo por Loop, 20830.00000000
Tempo por Loop, 26897.00000000
Tempo por Loop, 23316.00000000
Tempo por Loop, 20844.00000000
Tempo por Loop, 26235.00000000
Tempo por Loop, 23026.00000000
Tempo por Loop, 25197.00000000
Tempo por Loop, 22462.00000000
Tempo por Loop, 21460.00000000
Tempo por Loop, 22586.00000000
Tempo por Loop, 24011.00000000
Tempo por Loop, 23004.00000000
Tempo por Loop, 25441.00000000
Tempo por Loop, 21559.00000000
Tempo por Loop, 21742.00000000
Tempo por Loop, 21773.00000000
Tempo por Loop, 27443.00000000
Tempo por Loop, 22980.00000000
Tempo por Loop, 24530.00000000
Tempo por Loop, 23033.00000000
Tempo por Loop, 21187.00000000
Tempo por Loop, 20715.00000000
Tempo por Loop, 23630.00000000
Tempo por Loop, 23768.00000000
Tempo por Loop, 21353.00000000
Tempo por Loop, 26118.00000000
Tempo por Loop, 20533.00000000
Tempo por Loop, 24781.00000000
Tempo por Loop, 22924.00000000
Tempo por Loop, 21377.00000000
Tempo por Loop, 22564.00000000
Tempo por Loop, 24163.00000000
Tempo por Loop, 23308.00000000
Tempo por Loop, 20866.00000000
Tempo por Loop, 25292.00000000
Tempo por Loop, 22098.00000000
Tempo por Loop, 39999.00000000
Tempo por Loop, 26169.00000000
Tempo por Loop, 22374.00000000
Tempo por Loop, 25271.00000000
Tempo por Loop, 30235.00000000
Tempo por Loop, 23505.00000000
Tempo por Loop, 21031.00000000
Tempo por Loop, 24679.00000000
Tempo por Loop, 30184.00000000
Tempo por Loop, 23144.00000000
Tempo por Loop, 24979.00000000
Tempo por Loop, 22477.00000000
Tempo por Loop, 21593.00000000
Tempo por Loop, 26003.00000000
Tempo por Loop, 23160.00000000
Tempo por Loop, 21496.00000000
Tempo por Loop, 24115.00000000
Tempo por Loop, 22677.00000000
Tempo por Loop, 27081.00000000
Tempo por Loop, 21301.00000000
Tempo por Loop, 22384.00000000
Tempo por Loop, 21092.00000000
Tempo por Loop, 26543.00000000
Tempo por Loop, 21175.00000000
Tempo por Loop, 24496.00000000
Tempo por Loop, 23150.00000000
Tempo por Loop, 20885.00000000
Tempo por Loop, 26451.00000000
Tempo por Loop, 22929.00000000
Tempo por Loop, 21219.00000000
Tempo por Loop, 21979.00000000
Tempo por Loop, 25397.00000000
Tempo por Loop, 22417.00000000
Tempo por Loop, 24868.00000000
Tempo por Loop, 23667.00000000
Tempo por Loop, 22634.00000000
Tempo por Loop, 24745.00000000
Tempo por Loop, 23226.00000000
Tempo por Loop, 20628.00000000
Tempo por Loop, 25744.00000000
Tempo por Loop, 22300.00000000
Tempo por Loop, 21198.00000000
Tempo por Loop, 21724.00000000
Tempo por Loop, 25373.00000000
Tempo por Loop, 23271.00000000
Tempo por Loop, 25263.00000000
Tempo por Loop, 22088.00000000
Tempo por Loop, 22007.00000000
Tempo por Loop, 24659.00000000
Tempo por Loop, 22456.00000000
Tempo por Loop, 20646.00000000
Tempo por Loop, 26351.00000000
Tempo por Loop, 21234.00000000
Tempo por Loop, 22620.00000000
Tempo por Loop, 25226.00000000
Tempo por Loop, 22648.00000000
Tempo por Loop, 20952.00000000
Tempo por Loop, 22807.00000000
Tempo por Loop, 26322.00000000
Tempo por Loop, 21732.00000000
Tempo por Loop, 26429.00000000
Tempo por Loop, 29540.00000000
Tempo por Loop, 21943.00000000
Tempo por Loop, 25438.00000000
Tempo por Loop, 30825.00000000
Tempo por Loop, 24125.00000000
Tempo por Loop, 21283.00000000
Tempo por Loop, 25980.00000000
Tempo por Loop, 22720.00000000
Tempo por Loop, 20663.00000000
Tempo por Loop, 24538.00000000
Tempo por Loop, 22435.00000000
Tempo por Loop, 25731.00000000
Tempo por Loop, 23122.00000000
Tempo por Loop, 21312.00000000
Tempo por Loop, 24588.00000000
Tempo por Loop, 22976.00000000
Tempo por Loop, 22460.00000000
Tempo por Loop, 20953.00000000
Tempo por Loop, 26530.00000000
Tempo por Loop, 23563.00000000
Tempo por Loop, 24465.00000000
Tempo por Loop, 23462.00000000
Tempo por Loop, 21786.00000000
Tempo por Loop, 24241.00000000
Tempo por Loop, 22418.00000000
Tempo por Loop, 24091.00000000
Tempo por Loop, 22303.00000000
Tempo por Loop, 25575.00000000
Tempo por Loop, 23393.00000000
Tempo por Loop, 25095.00000000
Tempo por Loop, 23914.00000000
Tempo por Loop, 21536.00000000
Tempo por Loop, 22808.00000000
Tempo por Loop, 24351.00000000
Tempo por Loop, 23289.00000000
Tempo por Loop, 24427.00000000
Tempo por Loop, 22566.00000000
Tempo por Loop, 23224.00000000
Tempo por Loop, 21439.00000000
Tempo por Loop, 25578.00000000
Tempo por Loop, 20949.00000000
Tempo por Loop, 25526.00000000
Tempo por Loop, 23037.00000000
Tempo por Loop, 29786.00000000
Tempo por Loop, 21093.00000000
Tempo por Loop, 24346.00000000
Tempo por Loop, 22079.00000000
Tempo por Loop, 32841.00000000
Tempo por Loop, 22646.00000000
Tempo por Loop, 22778.00000000
Tempo por Loop, 23698.00000000
Tempo por Loop, 23427.00000000
Tempo por Loop, 20681.00000000
Tempo por Loop, 25334.00000000
Tempo por Loop, 23216.00000000
Tempo por Loop, 21437.00000000
Tempo por Loop, 26909.00000000
Tempo por Loop, 31557.00000000
Tempo por Loop, 21399.00000000
Tempo por Loop, 25043.00000000
Tempo por Loop, 22843.00000000
Tempo por Loop, 21222.00000000
Tempo por Loop, 22815.00000000
Tempo por Loop, 25270.00000000
Tempo por Loop, 23111.00000000
Tempo por Loop, 20941.00000000
Tempo por Loop, 25042.00000000
