function,function,time_us
,time_us
Tempo por Loop, 46152.00000000
Tempo por Loop, 41627.00000000
Tempo por Loop, 40854.00000000
Tempo por Loop, 49960.00000000
Tempo por Loop, 38547.00000000
Tempo por Loop, 39332.00000000
Tempo por Loop, 42071.00000000
Tempo por Loop, 39780.00000000
Tempo por Loop, 38023.00000000
Tempo por Loop, 43246.00000000
Tempo por Loop, 39343.00000000
Tempo por Loop, 38425.00000000
Tempo por Loop, 42393.00000000
Tempo por Loop, 39255.00000000
Tempo por Loop, 37990.00000000
Tempo por Loop, 40511.00000000
Tempo por Loop, 39285.00000000
Tempo por Loop, 38813.00000000
Tempo por Loop, 40584.00000000
Tempo por Loop, 39431.00000000
Tempo por Loop, 38729.00000000
Tempo por Loop, 37853.00000000
Tempo por Loop, 50588.00000000
Tempo por Loop, 38508.00000000
Tempo por Loop, 40126.00000000
Tempo por Loop, 40605.00000000
Tempo por Loop, 37715.00000000
Tempo por Loop, 39374.00000000
Tempo por Loop, 40226.00000000
Tempo por Loop, 39468.00000000
Tempo por Loop, 39923.00000000
Tempo por Loop, 40135.00000000
Tempo por Loop, 39033.00000000
Tempo por Loop, 47098.00000000
Tempo por Loop, 45684.00000000
Tempo por Loop, 43652.00000000
Tempo por Loop, 47702.00000000
Tempo por Loop, 43670.00000000
Tempo por Loop, 45031.00000000
Tempo por Loop, 45147.00000000
Tempo por Loop, 42004.00000000
Tempo por Loop, 44065.00000000
Tempo por Loop, 43315.00000000
Tempo por Loop, 43146.00000000
Tempo por Loop, 43761.00000000
Tempo por Loop, 43581.00000000
Tempo por Loop, 42908.00000000
Tempo por Loop, 43092.00000000
Tempo por Loop, 44060.00000000
Tempo por Loop, 43833.00000000
Tempo por Loop, 43728.00000000
Tempo por Loop, 45187.00000000
Tempo por Loop, 42210.00000000
Tempo por Loop, 44607.00000000
Tempo por Loop, 45979.00000000
Tempo por Loop, 42848.00000000
Tempo por Loop, 41851.00000000
Tempo por Loop, 50167.00000000
Tempo por Loop, 44671.00000000
Tempo por Loop, 41801.00000000
Tempo por Loop, 45092.00000000
Tempo por Loop, 41844.00000000
Tempo por Loop, 43067.00000000
Tempo por Loop, 44462.00000000
Tempo por Loop, 43024.00000000
Tempo por Loop, 43081.00000000
Tempo por Loop, 38885.00000000
Tempo por Loop, 39769.00000000
Tempo por Loop, 39285.00000000
Tempo por Loop, 42741.00000000
Tempo por Loop, 40276.00000000
Tempo por Loop, 38826.00000000
Tempo por Loop, 41461.00000000
Tempo por Loop, 39713.00000000
Tempo por Loop, 39460.00000000
Tempo por Loop, 40863.00000000
Tempo por Loop, 39437.00000000
Tempo por Loop, 39300.00000000
Tempo por Loop, 38587.00000000
Tempo por Loop, 41545.00000000
Tempo por Loop, 39785.00000000
Tempo por Loop, 38012.00000000
Tempo por Loop, 41265.00000000
Tempo por Loop, 39682.00000000
Tempo por Loop, 47771.00000000
Tempo por Loop, 38596.00000000
Tempo por Loop, 39919.00000000
Tempo por Loop, 117264.00000000
Tempo por Loop, 44199.00000000
Tempo por Loop, 87973.00000000
Tempo por Loop, 58519.00000000
Tempo por Loop, 42848.00000000
Tempo por Loop, 39313.00000000
Tempo por Loop, 40601.00000000
Tempo por Loop, 40522.00000000
Tempo por Loop, 38951.00000000
Tempo por Loop, 40587.00000000
Tempo por Loop, 39229.00000000
Tempo por Loop, 39800.00000000
Tempo por Loop, 38176.00000000
Tempo por Loop, 43149.00000000
Tempo por Loop, 39474.00000000
Tempo por Loop, 40059.00000000
Tempo por Loop, 40104.00000000
Tempo por Loop, 39437.00000000
Tempo por Loop, 40654.00000000
Tempo por Loop, 37992.00000000
Tempo por Loop, 38996.00000000
Tempo por Loop, 42490.00000000
Tempo por Loop, 37885.00000000
Tempo por Loop, 47554.00000000
Tempo por Loop, 40641.00000000
Tempo por Loop, 38992.00000000
Tempo por Loop, 37839.00000000
Tempo por Loop, 41932.00000000
Tempo por Loop, 41402.00000000
Tempo por Loop, 37783.00000000
Tempo por Loop, 40925.00000000
Tempo por Loop, 39175.00000000
Tempo por Loop, 128482.00000000
Tempo por Loop, 44873.00000000
Tempo por Loop, 44193.00000000
Tempo por Loop, 49796.00000000
Tempo por Loop, 44727.00000000
Tempo por Loop, 46362.00000000
Tempo por Loop, 42628.00000000
Tempo por Loop, 57037.00000000
Tempo por Loop, 45220.00000000
Tempo por Loop, 49144.00000000
Tempo por Loop, 60351.00000000
Tempo por Loop, 60717.00000000
Tempo por Loop, 63686.00000000
Tempo por Loop, 65057.00000000
Tempo por Loop, 66902.00000000
Tempo por Loop, 60276.00000000
Tempo por Loop, 68166.00000000
Tempo por Loop, 68438.00000000
Tempo por Loop, 63922.00000000
Tempo por Loop, 47356.00000000
Tempo por Loop, 46381.00000000
Tempo por Loop, 58436.00000000
Tempo por Loop, 45049.00000000
Tempo por Loop, 48793.00000000
Tempo por Loop, 53238.00000000
Tempo por Loop, 61156.00000000
Tempo por Loop, 63551.00000000
Tempo por Loop, 42694.00000000
Tempo por Loop, 41135.00000000
Tempo por Loop, 41159.00000000
Tempo por Loop, 40044.00000000
Tempo por Loop, 41853.00000000
Tempo por Loop, 40220.00000000
Tempo por Loop, 40159.00000000
Tempo por Loop, 40128.00000000
Tempo por Loop, 41053.00000000
Tempo por Loop, 37958.00000000
Tempo por Loop, 39040.00000000
Tempo por Loop, 40963.00000000
Tempo por Loop, 39804.00000000
Tempo por Loop, 41604.00000000
Tempo por Loop, 40682.00000000
Tempo por Loop, 40171.00000000
Tempo por Loop, 41524.00000000
Tempo por Loop, 52997.00000000
Tempo por Loop, 40069.00000000
Tempo por Loop, 41223.00000000
Tempo por Loop, 39620.00000000
Tempo por Loop, 39561.00000000
Tempo por Loop, 38331.00000000
Tempo por Loop, 41509.00000000
Tempo por Loop, 40136.00000000
Tempo por Loop, 40199.00000000
Tempo por Loop, 39324.00000000
Tempo por Loop, 39003.00000000
Tempo por Loop, 40918.00000000
Tempo por Loop, 39409.00000000
Tempo por Loop, 38992.00000000
Tempo por Loop, 42430.00000000
Tempo por Loop, 39426.00000000
Tempo por Loop, 38009.00000000
Tempo por Loop, 38938.00000000
Tempo por Loop, 41377.00000000
Tempo por Loop, 39306.00000000
Tempo por Loop, 40833.00000000
Tempo por Loop, 39535.00000000
Tempo por Loop, 39465.00000000
Tempo por Loop, 41434.00000000
Tempo por Loop, 124321.00000000
Tempo por Loop, 42703.00000000
Tempo por Loop, 61556.00000000
Tempo por Loop, 44140.00000000
Tempo por Loop, 74582.00000000
Tempo por Loop, 50191.00000000
Tempo por Loop, 43015.00000000
Tempo por Loop, 51268.00000000
Tempo por Loop, 46378.00000000
Tempo por Loop, 45608.00000000
Tempo por Loop, 42075.00000000
Tempo por Loop, 44917.00000000
Tempo por Loop, 44061.00000000
Tempo por Loop, 41379.00000000
Tempo por Loop, 43030.00000000
Tempo por Loop, 44863.00000000
Tempo por Loop, 43652.00000000
Tempo por Loop, 44783.00000000
Tempo por Loop, 45123.00000000
Tempo por Loop, 42209.00000000
Tempo por Loop, 45237.00000000
