function,function,time_us
,time_us
Tempo por Loop, 13993.00000000
Tempo por Loop, 14899.00000000
Tempo por Loop, 14095.00000000
Tempo por Loop, 12565.00000000
Tempo por Loop, 16162.00000000
Tempo por Loop, 13868.00000000
Tempo por Loop, 12634.00000000
Tempo por Loop, 12458.00000000
Tempo por Loop, 16052.00000000
Tempo por Loop, 14071.00000000
Tempo por Loop, 16523.00000000
Tempo por Loop, 13067.00000000
Tempo por Loop, 14141.00000000
Tempo por Loop, 14793.00000000
Tempo por Loop, 14737.00000000
Tempo por Loop, 14166.00000000
Tempo por Loop, 14992.00000000
Tempo por Loop, 13853.00000000
Tempo por Loop, 12432.00000000
Tempo por Loop, 13713.00000000
Tempo por Loop, 14698.00000000
Tempo por Loop, 13333.00000000
Tempo por Loop, 12627.00000000
Tempo por Loop, 17207.00000000
Tempo por Loop, 15875.00000000
Tempo por Loop, 22664.00000000
Tempo por Loop, 13802.00000000
Tempo por Loop, 12113.00000000
Tempo por Loop, 15868.00000000
Tempo por Loop, 13669.00000000
Tempo por Loop, 12007.00000000
Tempo por Loop, 13688.00000000
Tempo por Loop, 14371.00000000
Tempo por Loop, 13281.00000000
Tempo por Loop, 14616.00000000
Tempo por Loop, 13329.00000000
Tempo por Loop, 13411.00000000
Tempo por Loop, 14711.00000000
Tempo por Loop, 14042.00000000
Tempo por Loop, 14661.00000000
Tempo por Loop, 13823.00000000
Tempo por Loop, 14451.00000000
Tempo por Loop, 13719.00000000
Tempo por Loop, 13226.00000000
Tempo por Loop, 14906.00000000
Tempo por Loop, 13535.00000000
Tempo por Loop, 14062.00000000
Tempo por Loop, 13346.00000000
Tempo por Loop, 12097.00000000
Tempo por Loop, 16019.00000000
Tempo por Loop, 18632.00000000
Tempo por Loop, 12713.00000000
Tempo por Loop, 15863.00000000
Tempo por Loop, 12568.00000000
Tempo por Loop, 20345.00000000
Tempo por Loop, 14746.00000000
Tempo por Loop, 14145.00000000
Tempo por Loop, 20096.00000000
Tempo por Loop, 16007.00000000
Tempo por Loop, 15097.00000000
Tempo por Loop, 14696.00000000
Tempo por Loop, 16126.00000000
Tempo por Loop, 15197.00000000
Tempo por Loop, 20811.00000000
Tempo por Loop, 15780.00000000
Tempo por Loop, 15247.00000000
Tempo por Loop, 18479.00000000
Tempo por Loop, 16860.00000000
Tempo por Loop, 16907.00000000
Tempo por Loop, 14051.00000000
Tempo por Loop, 22229.00000000
Tempo por Loop, 20008.00000000
Tempo por Loop, 25023.00000000
Tempo por Loop, 19301.00000000
Tempo por Loop, 33366.00000000
Tempo por Loop, 26384.00000000
Tempo por Loop, 20876.00000000
Tempo por Loop, 22184.00000000
Tempo por Loop, 19103.00000000
Tempo por Loop, 24696.00000000
Tempo por Loop, 22901.00000000
Tempo por Loop, 22203.00000000
Tempo por Loop, 18457.00000000
Tempo por Loop, 24677.00000000
Tempo por Loop, 21939.00000000
Tempo por Loop, 21048.00000000
Tempo por Loop, 25476.00000000
Tempo por Loop, 20515.00000000
Tempo por Loop, 22984.00000000
Tempo por Loop, 26699.00000000
Tempo por Loop, 21552.00000000
Tempo por Loop, 26579.00000000
Tempo por Loop, 23245.00000000
Tempo por Loop, 21539.00000000
Tempo por Loop, 24706.00000000
Tempo por Loop, 23208.00000000
Tempo por Loop, 22650.00000000
Tempo por Loop, 21073.00000000
Tempo por Loop, 27748.00000000
Tempo por Loop, 22610.00000000
Tempo por Loop, 24465.00000000
Tempo por Loop, 23338.00000000
Tempo por Loop, 21204.00000000
Tempo por Loop, 35735.00000000
Tempo por Loop, 23349.00000000
Tempo por Loop, 21527.00000000
Tempo por Loop, 26729.00000000
Tempo por Loop, 22123.00000000
Tempo por Loop, 21987.00000000
Tempo por Loop, 23395.00000000
Tempo por Loop, 25898.00000000
Tempo por Loop, 22737.00000000
Tempo por Loop, 24946.00000000
Tempo por Loop, 24121.00000000
Tempo por Loop, 21437.00000000
Tempo por Loop, 26702.00000000
Tempo por Loop, 21178.00000000
Tempo por Loop, 22691.00000000
Tempo por Loop, 24503.00000000
Tempo por Loop, 23185.00000000
Tempo por Loop, 21660.00000000
Tempo por Loop, 22882.00000000
Tempo por Loop, 26665.00000000
Tempo por Loop, 21337.00000000
Tempo por Loop, 26346.00000000
Tempo por Loop, 23272.00000000
Tempo por Loop, 21471.00000000
Tempo por Loop, 23848.00000000
Tempo por Loop, 23408.00000000
Tempo por Loop, 24845.00000000
Tempo por Loop, 25175.00000000
Tempo por Loop, 23806.00000000
Tempo por Loop, 23196.00000000
Tempo por Loop, 24960.00000000
Tempo por Loop, 23358.00000000
Tempo por Loop, 21533.00000000
Tempo por Loop, 26542.00000000
Tempo por Loop, 22809.00000000
Tempo por Loop, 21124.00000000
Tempo por Loop, 26705.00000000
Tempo por Loop, 21316.00000000
Tempo por Loop, 22974.00000000
Tempo por Loop, 21055.00000000
Tempo por Loop, 25694.00000000
Tempo por Loop, 22790.00000000
Tempo por Loop, 24634.00000000
Tempo por Loop, 21159.00000000
Tempo por Loop, 22843.00000000
Tempo por Loop, 26155.00000000
Tempo por Loop, 21251.00000000
Tempo por Loop, 22694.00000000
Tempo por Loop, 20872.00000000
Tempo por Loop, 26067.00000000
Tempo por Loop, 21087.00000000
Tempo por Loop, 26252.00000000
Tempo por Loop, 23892.00000000
Tempo por Loop, 21020.00000000
Tempo por Loop, 31864.00000000
Tempo por Loop, 23021.00000000
Tempo por Loop, 21196.00000000
Tempo por Loop, 23844.00000000
